chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,FitCUT&RUN specific,contain Sox motif
chr1,6143057,6143399,Sox19b_dome_peak_108,1743,.,36.10469,179.2209,174.345289999999,200,False,True
chr1,6164358,6164702,Sox19b_dome_peak_111,1849,.,36.3923,189.94373,184.95412,228,False,True
chr1,6185037,6185154,Sox19b_dome_peak_112,186,.,12.10497,21.63117,18.69326,51,True,True
chr1,6494434,6494637,Sox19b_dome_peak_117,235,.,13.97356,26.5865,23.53998,80,True,False
chr1,6506721,6507032,Sox19b_dome_peak_118,590,.,20.25027,62.62915,59.02844,183,True,False
chr1,6956686,6956972,Sox19b_dome_peak_124,277,.,15.55016,30.8520599999999,27.7216,95,True,False
chr1,6968952,6969191,Sox19b_dome_peak_126,186,.,11.68389,21.63363,18.69561,138,True,False
chr1,7064957,7065497,Sox19b_dome_peak_128,699,.,17.49751,73.68938,69.95891,349,True,False
chr1,7095308,7095534,Sox19b_dome_peak_129,671,.,26.96293,70.84675,67.14925,101,True,True
chr1,7185295,7185557,Sox19b_dome_peak_133,174,.,11.43291,20.3766,17.4684,82,True,False
chr1,7514174,7514627,Sox19b_dome_peak_138,819,.,25.00997,85.81049,81.9443,177,True,True
chr1,7570240,7570376,Sox19b_dome_peak_139,143,.,10.1729,17.1659,14.34164,70,True,True
chr1,7616680,7617075,Sox19b_dome_peak_140,606,.,21.62152,64.2517,60.6310699999999,295,True,False
chr1,7623973,7624222,Sox19b_dome_peak_142,445,.,21.8267299999999,47.94433,44.5381299999999,122,True,True
chr1,7640324,7640605,Sox19b_dome_peak_144,1239,.,34.76947,128.2303,123.91343,125,False,False
chr1,7653983,7654302,Sox19b_dome_peak_145,357,.,18.2431,39.02509,35.75377,151,False,False
chr1,7661574,7661788,Sox19b_dome_peak_147,243,.,13.55047,27.37245,24.30975,143,True,False
chr1,7673330,7673470,Sox19b_dome_peak_148,157,.,10.1834899999999,18.63131,15.76733,53,True,True
chr1,7916828,7917075,Sox19b_dome_peak_152,377,.,18.68768,41.0843,37.78113,106,True,False
chr1,8055083,8055262,Sox19b_dome_peak_153,450,.,22.42553,48.45407,45.04072,96,True,False
chr1,8106030,8106183,Sox19b_dome_peak_155,230,.,13.0971,26.05075,23.0151,88,True,True
chr1,8138366,8138667,Sox19b_dome_peak_157,280,.,12.52357,31.22918,28.09175,180,True,False
chr1,8693920,8694140,Sox19b_dome_peak_170,306,.,10.33333,33.84673,30.66249,152,True,False
chr1,8695694,8695924,Sox19b_dome_peak_171,1952,.,36.51109,200.33516,195.23164,126,False,True
chr1,8705139,8705519,Sox19b_dome_peak_173,266,.,13.54837,29.7695,26.65927,191,True,True
chr1,8854290,8854484,Sox19b_dome_peak_175,254,.,15.00496,28.53613,25.44984,81,True,False
chr1,8895227,8895458,Sox19b_dome_peak_177,170,.,11.46607,19.92917,17.03275,63,True,False
chr1,8990225,8990434,Sox19b_dome_peak_180,703,.,28.37287,74.13537,70.39961,101,True,True
chr1,9175828,9176131,Sox19b_dome_peak_187,640,.,25.1025,67.67458,64.01392,208,True,False
chr1,9209578,9209757,Sox19b_dome_peak_192,147,.,10.40794,17.62635,14.78971,113,True,False
chr1,9282746,9283155,Sox19b_dome_peak_195,2437,.,31.40142,249.449539999999,243.77756,252,False,True
chr1,9294539,9294734,Sox19b_dome_peak_197,260,.,13.16438,29.1244,26.02694,113,True,False
chr1,9369076,9369389,Sox19b_dome_peak_200,383,.,18.6389,41.67366,38.36155,177,True,False
chr1,9379087,9379452,Sox19b_dome_peak_201,435,.,20.47034,46.91597,43.52467,206,True,False
chr1,9385350,9385670,Sox19b_dome_peak_202,271,.,14.93484,30.30164,27.18175,89,True,True
chr1,9457567,9458009,Sox19b_dome_peak_204,864,.,23.49561,90.3271,86.41201,231,False,True
chr1,9467126,9467573,Sox19b_dome_peak_206,230,.,12.7996699999999,26.1091,23.0722,182,True,False
chr1,9483010,9483193,Sox19b_dome_peak_207,878,.,31.0441599999999,91.75609,87.82555,101,True,False
chr1,9534162,9534291,Sox19b_dome_peak_208,426,.,21.70218,45.98022,42.60284,75,True,True
chr1,9721248,9721427,Sox19b_dome_peak_214,197,.,12.6355,22.67805,19.71606,62,True,True
chr1,9735257,9735462,Sox19b_dome_peak_215,340,.,18.75488,37.26899,34.02592,103,True,True
chr1,9781376,9781501,Sox19b_dome_peak_217,189,.,12.3330899999999,21.87045,18.92679,52,True,False
chr1,9821139,9821411,Sox19b_dome_peak_219,447,.,19.41892,48.11567,44.70683,175,True,False
chr1,9860350,9860549,Sox19b_dome_peak_221,377,.,19.01793,41.01377,37.71169,77,True,False
chr1,9922901,9923223,Sox19b_dome_peak_223,139,.,10.03281,16.74171,13.93,137,True,False
chr1,10106826,10107227,Sox19b_dome_peak_227,551,.,15.12835,58.65174,55.10021,161,True,False
chr1,10107323,10107817,Sox19b_dome_peak_228,758,.,18.59999,79.62263,75.82509,344,False,True
chr1,10177026,10177158,Sox19b_dome_peak_230,249,.,15.0039,28.0752599999999,24.99834,57,True,False
chr1,10245422,10245623,Sox19b_dome_peak_232,195,.,12.56209,22.52968,19.57072,122,True,False
chr1,10329412,10329825,Sox19b_dome_peak_233,876,.,24.57014,91.5553099999999,87.62718,82,True,False
chr1,10406815,10407198,Sox19b_dome_peak_235,481,.,18.68721,51.57614,48.1186,261,True,False
chr1,10450847,10451214,Sox19b_dome_peak_236,161,.,10.88407,19.03695,16.16276,292,True,False
chr1,10495883,10496068,Sox19b_dome_peak_239,172,.,10.81598,20.15766,17.25482,81,True,False
chr1,10553251,10553398,Sox19b_dome_peak_240,252,.,14.68637,28.33184,25.24993,68,True,True
chr1,10664678,10664985,Sox19b_dome_peak_245,206,.,12.57383,23.63655,20.6527,159,True,False
chr1,10670146,10670512,Sox19b_dome_peak_246,432,.,19.87914,46.6324599999999,43.2454599999999,153,True,False
chr1,10696145,10696346,Sox19b_dome_peak_249,396,.,19.75887,42.95771,39.62589,111,True,True
chr1,10829596,10829819,Sox19b_dome_peak_253,528,.,21.457,56.3607199999999,52.83854,146,True,False
chr1,10830193,10830335,Sox19b_dome_peak_254,169,.,10.0437,19.87927,16.98416,74,True,False
chr1,10850126,10850432,Sox19b_dome_peak_257,254,.,13.20962,28.57883,25.49181,179,True,True
chr1,10881621,10881921,Sox19b_dome_peak_258,356,.,17.00884,38.9068,35.63732,170,True,True
chr1,10901298,10901647,Sox19b_dome_peak_259,443,.,18.74686,47.74443,44.34146,214,False,True
chr1,10975158,10975428,Sox19b_dome_peak_263,919,.,32.32579,95.92271,91.94646,111,True,True
chr1,11040449,11040624,Sox19b_dome_peak_264,170,.,11.46778,19.9133,17.01732,86,True,True
chr1,11057171,11057438,Sox19b_dome_peak_265,244,.,13.95281,27.5155599999999,24.44977,155,True,False
chr1,11099897,11100089,Sox19b_dome_peak_268,237,.,14.08527,26.79132,23.74036,136,True,True
chr1,11121454,11121676,Sox19b_dome_peak_269,246,.,14.59075,27.73629,24.66637,57,True,True
chr1,11422548,11422738,Sox19b_dome_peak_275,176,.,11.6943399999999,20.57206,17.6595,70,True,False
chr1,11495624,11495877,Sox19b_dome_peak_278,341,.,16.5430299999999,37.43258,34.18656,63,True,True
chr1,11496425,11496622,Sox19b_dome_peak_279,160,.,10.0470399999999,18.87714,16.0071799999999,50,True,False
chr1,11565712,11565964,Sox19b_dome_peak_280,331,.,17.45084,36.42299,33.1942,150,True,False
chr1,11777618,11777963,Sox19b_dome_peak_281,454,.,19.39547,48.8491099999999,45.42986,244,True,True
chr1,11800822,11801196,Sox19b_dome_peak_283,938,.,23.96371,97.85085,93.85331,231,True,True
chr1,11832154,11832562,Sox19b_dome_peak_284,2781,.,40.76856,284.13559,278.14725,125,True,True
chr1,12100847,12100996,Sox19b_dome_peak_290,176,.,11.78237,20.60548,17.6919799999999,79,True,False
chr1,12119909,12120087,Sox19b_dome_peak_291,232,.,14.16359,26.25704,23.21708,106,True,False
chr1,12348031,12348299,Sox19b_dome_peak_297,162,.,10.91316,19.0901399999999,16.21447,99,True,False
chr1,12805529,12805797,Sox19b_dome_peak_305,141,.,10.1234,16.93176,14.11385,54,True,True
chr1,12921605,12922079,Sox19b_dome_peak_307,377,.,18.30475,41.10284,37.7994,141,True,True
chr1,13096155,13096497,Sox19b_dome_peak_313,454,.,19.84936,48.84539,45.42625,194,True,False
chr1,13120805,13121344,Sox19b_dome_peak_315,290,.,13.0853,32.21932,29.0637099999999,324,True,False
chr1,13141221,13141348,Sox19b_dome_peak_317,171,.,11.50037,20.00101,17.1028,71,True,False
chr1,13162192,13162454,Sox19b_dome_peak_318,751,.,15.00287,78.95139,75.16122,172,True,True
chr1,13225186,13225535,Sox19b_dome_peak_322,1044,.,29.2724,108.5199,104.40512,166,True,False
chr1,13274140,13274524,Sox19b_dome_peak_323,1474,.,36.37062,151.99579,147.4241,288,True,True
chr1,13288992,13289237,Sox19b_dome_peak_324,595,.,23.96508,63.14665,59.53958,84,True,False
chr1,13296256,13296554,Sox19b_dome_peak_325,727,.,21.58164,76.47398,72.7115599999999,102,True,False
chr1,13305934,13306468,Sox19b_dome_peak_328,625,.,16.02779,66.17923,62.5357599999999,475,False,False
chr1,13318200,13318393,Sox19b_dome_peak_329,585,.,25.33294,62.15399,58.5590599999999,123,True,False
chr1,13350247,13350462,Sox19b_dome_peak_330,242,.,14.6382299999999,27.26117,24.20057,149,True,True
chr1,13394625,13394784,Sox19b_dome_peak_332,299,.,16.94636,33.1021,29.93078,96,True,True
chr1,13421621,13421913,Sox19b_dome_peak_333,197,.,12.53191,22.7554899999999,19.79143,150,True,False
chr1,13552673,13552938,Sox19b_dome_peak_334,623,.,25.1467299999999,66.01473,62.37336,118,True,True
chr1,13649706,13649979,Sox19b_dome_peak_336,171,.,11.50037,20.00101,17.1028,82,True,False
chr1,13686472,13686620,Sox19b_dome_peak_337,203,.,12.99682,23.3716799999999,20.39421,110,True,False
chr1,13779746,13780083,Sox19b_dome_peak_342,185,.,12.1464699999999,21.48753,18.55305,66,True,False
chr1,13875201,13875583,Sox19b_dome_peak_344,264,.,14.48463,29.52829,26.42302,248,True,True
chr1,13906885,13907063,Sox19b_dome_peak_346,155,.,10.79146,18.43566,15.5770299999999,65,True,False
chr1,14144404,14144596,Sox19b_dome_peak_350,150,.,10.56873,17.91187,15.0679,34,True,True
chr1,14197019,14197178,Sox19b_dome_peak_351,145,.,10.30958,17.3317,14.503,84,True,True
chr1,14458299,14458488,Sox19b_dome_peak_358,287,.,15.17653,31.88695,28.73774,108,True,False
chr1,14507417,14507824,Sox19b_dome_peak_363,669,.,15.63083,70.66596,66.97049,128,True,False
chr1,14509763,14510158,Sox19b_dome_peak_364,642,.,15.1602,67.89676,64.2336,101,True,True
chr1,14661342,14661463,Sox19b_dome_peak_366,326,.,17.93682,35.82178,32.60332,44,True,True
chr1,14818812,14819142,Sox19b_dome_peak_370,174,.,11.43291,20.3766,17.4684,159,True,True
chr1,14986457,14986667,Sox19b_dome_peak_373,211,.,12.86233,24.14567,21.15074,65,True,True
chr1,14988334,14988529,Sox19b_dome_peak_374,240,.,14.01585,27.1214099999999,24.06377,73,True,True
chr1,15080382,15080540,Sox19b_dome_peak_377,218,.,13.2682399999999,24.87501,21.86439,59,True,False
chr1,15153298,15153471,Sox19b_dome_peak_379,194,.,12.5959899999999,22.45293,19.49592,89,True,False
chr1,15187462,15187782,Sox19b_dome_peak_380,216,.,13.33796,24.6222399999999,21.61715,194,True,True
chr1,15230255,15230438,Sox19b_dome_peak_381,1026,.,35.73375,106.79494,102.698669999999,93,True,False
chr1,15317026,15317200,Sox19b_dome_peak_383,175,.,11.2363,20.42047,17.51137,112,True,False
chr1,15330741,15331241,Sox19b_dome_peak_386,1580,.,30.46587,162.77454,158.08792,123,False,False
chr1,15466224,15466340,Sox19b_dome_peak_388,141,.,10.15396,16.99652,14.17687,70,True,True
chr1,15521061,15521281,Sox19b_dome_peak_391,183,.,11.4883399999999,21.2971799999999,18.36745,65,True,True
chr1,15872932,15873122,Sox19b_dome_peak_400,255,.,15.1851,28.6214099999999,25.53361,125,True,True
chr1,15893505,15893731,Sox19b_dome_peak_401,261,.,15.17021,29.2337599999999,26.13446,132,True,False
chr1,15911368,15911517,Sox19b_dome_peak_403,263,.,15.4433899999999,29.41245,26.30934,114,True,False
chr1,15957168,15957454,Sox19b_dome_peak_406,1086,.,29.8977599999999,112.7607,108.60086,146,True,False
chr1,15962780,15963062,Sox19b_dome_peak_407,269,.,15.40681,30.11054,26.99432,54,True,True
chr1,15989657,15989912,Sox19b_dome_peak_409,318,.,16.69802,35.10371,31.89774,190,True,True
chr1,16031092,16031431,Sox19b_dome_peak_410,238,.,13.91,26.93388,23.8800299999999,168,True,True
chr1,16036374,16036668,Sox19b_dome_peak_411,561,.,22.96067,59.75111,56.18581,210,True,False
chr1,16160479,16160659,Sox19b_dome_peak_414,138,.,10.00297,16.67973,13.86984,111,True,True
chr1,16207239,16207336,Sox19b_dome_peak_415,222,.,13.80526,25.24343,22.225,51,True,False
chr1,16263866,16264061,Sox19b_dome_peak_416,232,.,14.25371,26.29631,23.25566,79,True,False
chr1,16312753,16313013,Sox19b_dome_peak_417,238,.,14.12291,26.86063,23.80837,186,True,False
chr1,16400077,16400358,Sox19b_dome_peak_419,187,.,12.21914,21.63955,18.70123,79,True,False
chr1,16445609,16445761,Sox19b_dome_peak_421,175,.,11.66095,20.50633,17.59491,83,True,True
chr1,16507823,16508056,Sox19b_dome_peak_424,214,.,12.7592,24.43393,21.43282,109,True,False
chr1,16538314,16538611,Sox19b_dome_peak_425,1459,.,35.6267,150.514889999999,145.96034,105,True,True
chr1,16563827,16564114,Sox19b_dome_peak_426,1016,.,27.80926,105.687639999999,101.6031,179,True,True
chr1,16571469,16571823,Sox19b_dome_peak_428,542,.,20.37878,57.81144,54.27055,147,True,True
chr1,16594433,16594894,Sox19b_dome_peak_429,273,.,14.33564,30.46678,27.34378,364,True,False
chr1,16715292,16715511,Sox19b_dome_peak_435,305,.,16.2389799999999,33.71089,30.52894,100,True,True
chr1,16721112,16721289,Sox19b_dome_peak_436,147,.,10.43755,17.61455,14.77836,115,True,False
chr1,16728999,16729329,Sox19b_dome_peak_437,165,.,10.65907,19.43124,16.54706,191,True,False
chr1,16748465,16748937,Sox19b_dome_peak_438,2180,.,32.34542,223.39146,218.03766,170,True,True
chr1,16759186,16759432,Sox19b_dome_peak_439,481,.,10.68932,51.62427,48.16616,145,True,False
chr1,16760514,16760878,Sox19b_dome_peak_440,651,.,12.91626,68.78855,65.11443,184,True,True
chr1,16761071,16761381,Sox19b_dome_peak_441,504,.,11.02713,53.97018,50.47996,110,True,True
chr1,17182827,17183066,Sox19b_dome_peak_448,705,.,29.44725,74.2569,70.5196199999999,128,True,True
chr1,17258189,17258679,Sox19b_dome_peak_449,201,.,12.00567,23.1482399999999,20.17594,310,True,False
chr1,17311550,17311751,Sox19b_dome_peak_455,1173,.,37.0434,121.60308,117.35381,99,True,False
chr1,17316979,17317469,Sox19b_dome_peak_456,544,.,20.0128,57.9967599999999,54.45324,114,False,True
chr1,17377224,17377493,Sox19b_dome_peak_458,910,.,28.9574,94.9709199999999,91.00478,163,True,False
chr1,17384404,17384577,Sox19b_dome_peak_459,765,.,29.39294,80.38613,76.58015,118,True,True
chr1,17486664,17486942,Sox19b_dome_peak_461,380,.,18.07361,41.40634,38.09832,169,False,False
chr1,17584778,17585039,Sox19b_dome_peak_465,862,.,27.88874,90.1277,86.2148,83,False,False
chr1,17630180,17630310,Sox19b_dome_peak_468,200,.,12.82283,23.06241,20.09185,57,True,True
chr1,17694541,17694818,Sox19b_dome_peak_471,350,.,15.8334,38.32639,35.0663,200,True,True
chr1,17695272,17695485,Sox19b_dome_peak_472,176,.,10.15296,20.58772,17.67466,116,True,False
chr1,17766303,17766878,Sox19b_dome_peak_473,361,.,16.46644,39.40104,36.12359,171,True,False
chr1,17933642,17933833,Sox19b_dome_peak_477,164,.,11.2179,19.33636,16.45449,149,True,False
chr1,17942290,17942520,Sox19b_dome_peak_478,160,.,11.04597,18.95461,16.08242,154,True,False
chr1,18057231,18057663,Sox19b_dome_peak_479,710,.,23.02431,74.7432,71.00046,160,True,False
chr1,18068451,18068664,Sox19b_dome_peak_480,165,.,11.23155,19.4470399999999,16.5624,146,True,True
chr1,18143417,18143730,Sox19b_dome_peak_483,640,.,16.3564799999999,67.7529,64.09139,151,True,True
chr1,18146981,18147597,Sox19b_dome_peak_484,317,.,10.2628899999999,34.9034,31.7007,297,True,False
chr1,18269353,18269581,Sox19b_dome_peak_488,160,.,11.04597,18.95461,16.08242,77,True,False
chr1,18301847,18302063,Sox19b_dome_peak_489,247,.,14.12369,27.81258,24.7410399999999,149,True,True
chr1,18338876,18339104,Sox19b_dome_peak_492,166,.,11.15153,19.53099,16.64427,115,True,True
chr1,18364021,18364174,Sox19b_dome_peak_493,185,.,12.1464699999999,21.48753,18.55305,83,True,False
chr1,18383543,18383956,Sox19b_dome_peak_494,205,.,12.54257,23.5818,20.59931,137,True,False
chr1,18591255,18591441,Sox19b_dome_peak_498,164,.,11.06093,19.3623799999999,16.47984,116,True,True
chr1,18613039,18613304,Sox19b_dome_peak_499,1672,.,32.07069,172.00937,167.20921,138,True,True
chr1,18615228,18615465,Sox19b_dome_peak_500,417,.,12.41601,45.1262599999999,41.76147,150,True,True
chr1,18638186,18638529,Sox19b_dome_peak_501,204,.,10.52616,23.43957,20.46041,136,True,True
chr1,18642118,18642292,Sox19b_dome_peak_503,295,.,13.34176,32.66708,29.50329,82,True,False
chr1,18721820,18722073,Sox19b_dome_peak_504,201,.,12.50488,23.07989,20.1090299999999,136,True,True
chr1,18751378,18751718,Sox19b_dome_peak_505,332,.,17.10979,36.42971,33.20074,115,True,True
chr1,18844136,18844370,Sox19b_dome_peak_507,150,.,10.25549,17.91465,15.0702,37,True,False
chr1,18859256,18859606,Sox19b_dome_peak_508,352,.,15.13385,38.54631,35.28246,83,True,True
chr1,19169496,19169762,Sox19b_dome_peak_517,201,.,12.86096,23.14171,20.16957,129,True,True
chr1,19252800,19253028,Sox19b_dome_peak_518,338,.,17.80766,37.0592,33.81952,174,True,True
chr1,19379950,19380213,Sox19b_dome_peak_521,410,.,18.98397,44.38085,41.02718,151,True,False
chr1,19397756,19397894,Sox19b_dome_peak_523,163,.,10.80449,19.25788,16.37804,63,True,False
chr1,19407402,19407733,Sox19b_dome_peak_524,967,.,24.01839,100.796269999999,96.76638,167,True,False
chr1,19410122,19410330,Sox19b_dome_peak_525,412,.,13.4313399999999,44.5994,41.24248,86,True,False
chr1,19415340,19415674,Sox19b_dome_peak_526,691,.,25.03266,72.90066,69.17898,156,True,True
chr1,19497661,19497841,Sox19b_dome_peak_528,280,.,15.96124,31.15167,28.0156599999999,101,True,False
chr1,19563460,19563739,Sox19b_dome_peak_532,767,.,27.88113,80.5844,76.77613,108,True,True
chr1,19618864,19619168,Sox19b_dome_peak_533,1175,.,38.36776,121.77027,117.51907,174,False,True
chr1,19649936,19650355,Sox19b_dome_peak_534,2368,.,34.68502,242.433329999999,236.84407,240,True,True
chr1,19659039,19659387,Sox19b_dome_peak_536,932,.,22.00945,97.23714,93.24691,276,True,True
chr1,19671820,19672235,Sox19b_dome_peak_539,1156,.,14.21456,119.8591,115.62714,312,False,False
chr1,19676453,19676673,Sox19b_dome_peak_542,798,.,11.17114,83.72993,79.88719,89,True,True
chr1,19681270,19681477,Sox19b_dome_peak_543,259,.,10.3694899999999,29.06772,25.97147,83,True,True
chr1,19686403,19686566,Sox19b_dome_peak_544,167,.,11.02485,19.64518,16.7557799999999,111,True,False
chr1,19714193,19714308,Sox19b_dome_peak_547,150,.,10.56873,17.91187,15.0679,42,True,False
chr1,19784435,19784580,Sox19b_dome_peak_548,164,.,11.1663,19.31551,16.43391,98,True,True
chr1,20279268,20279523,Sox19b_dome_peak_552,654,.,26.97357,69.1327,65.4546,126,False,True
chr1,20373901,20374035,Sox19b_dome_peak_555,160,.,11.04597,18.95461,16.08242,72,True,False
chr1,20543755,20543841,Sox19b_dome_peak_559,139,.,10.02064,16.76214,13.94841,54,True,False
chr1,20575287,20575660,Sox19b_dome_peak_560,167,.,11.02485,19.64518,16.7557799999999,222,True,True
chr1,20763880,20764279,Sox19b_dome_peak_564,432,.,18.57661,46.68486,43.2971099999999,181,True,True
chr1,20818371,20818704,Sox19b_dome_peak_566,1550,.,28.44997,159.74535,155.09021,227,False,False
chr1,20834547,20834665,Sox19b_dome_peak_570,321,.,16.8189399999999,35.31377,32.10426,56,True,True
chr1,21138146,21138337,Sox19b_dome_peak_573,194,.,12.48953,22.38419,19.42851,63,True,True
chr1,21204046,21204226,Sox19b_dome_peak_575,247,.,13.83131,27.84918,24.77685,85,True,False
chr1,21209715,21210181,Sox19b_dome_peak_576,247,.,12.73449,27.78202,24.71111,145,True,True
chr1,21227852,21227954,Sox19b_dome_peak_579,145,.,10.30958,17.3317,14.503,57,True,True
chr1,21291679,21291999,Sox19b_dome_peak_580,521,.,20.1149,55.69446,52.18103,97,True,True
chr1,21296960,21297167,Sox19b_dome_peak_581,308,.,15.69406,34.01316,30.82589,102,True,False
chr1,21527106,21527307,Sox19b_dome_peak_586,706,.,30.01285,74.4115,70.67233,74,True,True
chr1,21656720,21657021,Sox19b_dome_peak_590,502,.,21.82936,53.7648699999999,50.27763,164,True,True
chr1,21718405,21718772,Sox19b_dome_peak_591,1233,.,26.07806,127.68501,123.37329,247,True,False
chr1,21725955,21726295,Sox19b_dome_peak_593,209,.,11.14948,23.92549,20.93508,211,True,False
chr1,21735939,21736083,Sox19b_dome_peak_596,534,.,20.35154,56.93293,53.40318,77,True,False
chr1,21741854,21742194,Sox19b_dome_peak_597,771,.,24.89446,80.92215,77.11092,182,True,True
chr1,21763090,21763243,Sox19b_dome_peak_599,150,.,10.56044,17.93265,15.08785,95,True,False
chr1,21821622,21822107,Sox19b_dome_peak_600,523,.,17.54231,55.89416,52.37805,141,True,False
chr1,21860558,21860789,Sox19b_dome_peak_602,163,.,10.9717899999999,19.19776,16.31914,141,True,True
chr1,21936993,21937152,Sox19b_dome_peak_603,313,.,17.29135,34.56099,31.3641,79,True,False
chr1,21957128,21957395,Sox19b_dome_peak_604,380,.,19.20799,41.34993,38.04264,163,True,False
chr1,22157485,22157667,Sox19b_dome_peak_607,587,.,27.10677,62.30445,58.7076,104,True,False
chr1,22271024,22271281,Sox19b_dome_peak_610,463,.,20.83468,49.75212,46.3203,98,True,True
chr1,22304839,22305094,Sox19b_dome_peak_612,237,.,14.08527,26.79132,23.74036,170,True,True
chr1,22412602,22412803,Sox19b_dome_peak_618,158,.,10.9121899999999,18.66522,15.80057,113,True,False
chr1,22487488,22487725,Sox19b_dome_peak_620,156,.,10.38918,18.54016,15.6786299999999,73,True,True
chr1,22668060,22668350,Sox19b_dome_peak_623,1806,.,37.47195,185.62918,180.68335,181,False,False
chr1,22678448,22678611,Sox19b_dome_peak_626,245,.,14.30614,27.64042,24.57224,83,True,False
chr1,22731544,22731881,Sox19b_dome_peak_627,235,.,13.97356,26.5865,23.53998,226,True,False
chr1,22738939,22739247,Sox19b_dome_peak_628,283,.,15.6064899999999,31.47413,28.33204,152,True,True
chr1,22835850,22836122,Sox19b_dome_peak_631,501,.,21.7375,53.60878,50.1235,98,True,False
chr1,22889129,22889270,Sox19b_dome_peak_633,228,.,12.97917,25.85127,22.81971,74,True,True
chr1,22890435,22890629,Sox19b_dome_peak_634,382,.,18.55422,41.52877,38.21863,73,True,True
chr1,22900718,22900844,Sox19b_dome_peak_636,193,.,12.29562,22.31436,19.3604299999999,56,True,True
chr1,23131416,23131625,Sox19b_dome_peak_640,602,.,26.29743,63.82695,60.21141,63,True,True
chr1,23294342,23294500,Sox19b_dome_peak_642,162,.,10.94239,19.14374,16.26671,72,True,False
chr1,23356953,23357096,Sox19b_dome_peak_646,405,.,20.90596,43.92047,40.57363,68,True,True
chr1,23408585,23408754,Sox19b_dome_peak_648,434,.,21.22081,46.85217,43.46187,64,True,False
chr1,23452236,23452596,Sox19b_dome_peak_650,1335,.,34.7784,137.94226,133.52397,213,True,False
chr1,23559222,23559502,Sox19b_dome_peak_653,182,.,11.10676,21.1325,18.2063299999999,132,True,True
chr1,23642540,23642765,Sox19b_dome_peak_657,172,.,11.56228,20.13907,17.23669,58,True,True
chr1,23654467,23654641,Sox19b_dome_peak_658,181,.,11.80751,21.06723,18.14262,77,True,False
